synset,word,Source
155,hindrance,G
155,impediment,R
156,hovel,G
156,hut,G
156,shanty,R
157,humble,R
157,menial,R
157,lowly,G
158,husk,G
158,stalk,G
158,stubble,R
159,idiotic,R
159,laughable,G
159,nonsensical,R
159,preposterous,R
160,impede,R
160,hinder,G
161,impress,R
161,move,R
161,strike,G
162,inane,R
162,mindless,G
162,vacuous,R
163,infeasible,R
163,unfeasible,R
163,unworkable,G
164,ingenuity,R
164,cleverness,G
165,inlet,G
165,recess,R
166,intelligible,R
166,understandable,G
167,intestine,R
167,bowel,R
167,gut,G
168,jolly,R
168,jovial,R
168,merry,G
169,jump,G
169,leap,G
169,bound,R
170,lance,R
170,shaft,G
171,leading,G
171,star,G
171,stellar,R
172,lend,G
172,impart,R
172,bestow,G
173,lifelike,G
173,lively,G
173,vivid,R
174,lukewarm,G
174,tepid,R
175,lush,G
175,plush,R
176,mailman,G
176,postman,R
177,maroon,R
177,strand,G
178,maul,R
178,sledgehammer,G
179,meager,R
179,meagre,R
179,stingy,G
180,merchandise,R
180,ware,G
181,mindless,G
181,senseless,R
182,misinterpret,R
182,misunderstand,G
183,mutilate,R
183,mangle,G
184,narration,R
184,tale,G
184,story,R
185,narration,R
185,yarn,G
186,nauseous,R
186,queasy,G
186,loathsome,G
186,vile,R
187,neat,G
187,peachy,R
187,swell,G
188,noon,R
188,midday,G
189,obscure,R
189,cloud,G
189,mist,G
190,obscure,R
190,unknown,G
190,unsung,Vietnamese
190,unclear,G
190,vague,R
191,obstinate,R
191,wayward,G
192,obstruction,R
192,blockage,G
193,ominous,R
193,sinister,R
193,threatening,G
194,outlaw,G
194,criminalize,R
195,outline,G
195,synopsis,R
196,overcharge,R
196,soak,G
196,surcharge,R
196,fleece,G
196,rob,R
196,hook,G
197,overcome,G
197,defeat,R
198,overdo,G
198,exaggerate,R
199,overhaul,G
199,modernize,R
200,overthrow,G
200,subvert,R
200,overturn,R
201,overturn,R
201,override,G
201,overthrow,G
201,reverse,R
202,palette,R
202,pallet,G
203,pant,R
203,puff,G
204,pawn,R
204,soak,G
205,pertain,R
205,relate,R
205,concern,R
205,touch,G
206,picker,G
206,selector,R
207,pillage,R
207,foray,G
208,pit,G
208,cavity,R
209,populate,R
209,dwell,G
209,inhabit,R
210,present,R
210,pose,G
211,print,G
211,publish,R
212,procrastinate,R
212,stall,G
213,pry,G
213,prize,R
213,lever,R
214,pulpit,R
214,stump,G
214,soapbox,G
215,pulse,R
215,heartbeat,G
216,quartz,G
216,crystal,R
217,rag,G
217,lecture,R
217,reprimand,R
217,jaw,G
217,berate,G
218,rant,G
218,rave,R
219,reap,G
219,harvest,G
219,glean,R
220,reddish,G
220,cherry,R
220,ruby,R
220,scarlet,R
221,regenerate,R
221,renew,G
221,resume,R
222,resentment,R
222,bitterness,G
222,gall,G
223,resonant,R
223,resounding,G
224,restrict,R
224,restrain,R
224,bound,G
224,throttle,G
225,revoke,R
225,annul,R
225,reverse,R
225,repeal,R
225,overturn,G
226,ridicule,R
226,roast,G
227,rip,G
227,pull,R
228,sabotage,R
228,undermine,G
228,counteract,R
228,subvert,R
229,saliva,R
229,spit,G
230,satisfy,R
230,fulfill,G
231,scrape,G
231,grate,R
232,seedy,G
232,sordid,R
233,seek,G
233,essay,R
234,sentence,R
234,doom,G
235,shred,G
235,iota,Greek
235,tittle,R
236,shroud,G
236,hide,G
236,cover,R
237,singer,G
237,vocalist,R
238,sink,G
238,pass,R
238,lapse,R
239,sketch,R
239,outline,G
240,smasher,G
240,stunner,G
240,peach,R
241,smother,G
241,stifle,G
241,strangle,R
242,smother,G
242,suffocate,R
243,soma,R
243,physique,R
243,anatomy,R
243,chassis,R
243,flesh,G
244,soothe,G
244,solace,R
245,spend,G
245,pass,R
246,spook,G
246,specter,R
247,steep,G
247,immerse,R
248,stir,G
248,shift,G
248,budge,R
248,agitate,R
249,stomach,R
249,belly,G
250,strangle,R
250,throttle,G
251,substance,R
251,gist,R
251,heart,G
252,supervision,R
252,oversight,G
253,swear,G
253,rely,R
254,swerve,G
254,curve,R
254,slew,Celtic
255,tamper,R
255,fiddle,G
255,monkey,G
256,tease,G
256,badger,R
257,threesome,G
257,triad,R
257,trinity,R
258,thwart,G
258,spoil,R
258,foil,R
258,cross,R
258,frustrate,R
259,torment,R
259,rag,G
259,crucify,R
259,dun,G
259,frustrate,R
260,touch,G
260,rival,R
261,trailer,R
261,poke,G
262,trap,G
262,pin,G
262,immobilize,R
263,treachery,G
263,betrayal,R
263,treason,R
264,trim,G
264,prune,R
265,twin,G
265,duplicate,R
266,undesirable,R
266,unwanted,G
267,ungrateful,R
267,thankless,G
268,unload,G
268,discharge,R
269,unwieldy,G
269,unmanageable,R
270,uterus,R
270,womb,G
271,vibration,R
271,quiver,G
272,vomit,R
272,spew,G
273,regurgitate,R
273,voyage,R
273,sail,G
273,navigate,R
274,waive,R
274,relinquish,R
274,forego,G
275,weary,G
275,fatigue,R
276,weave,R
276,wander,G
277,wield,G
277,exert,R
278,yield,G
278,succumb,R
279,agnry,G
279,mad,G
279,furious,R
280,answer,G
280,reply,R
281,ask,G
281,request,R
282,awful,G
282,terrible,R
283,begin,G
283,start,G
283,commence,R
284,bent,G
284,curved,R
285,bewitching,G
285,enchanting,R
286,big,G
286,large,R
287,blank,G
287,void,R
288,bold,G
288,brave,R
289,chiefly,G
289,mainly,R
290,choose,G
290,pick,G
290,select,R
291,clean,G
291,neat,R
292,crazy,G
292,insane,R
293,dumb,G
293,stupid,R
294,eager,G
294,keen,R
295,end,G
295,finish,R
296,fast,G
296,quick,G
296,rapid,R
297,fear,G
297,fright,G
297,terror,R
297,horror,R
298,forsake,G
298,abandon,R
299,friendly,G
299,amiable,R
300,full,G
300,complete,R
301,funny,G
301,amusing,R
302,glimpse,G
302,glance,R
303,goal,G
303,aim,R
304,guarantee,G
304,assure,R
305,hard,G
305,difficult,R
306,harm,G
306,damage,R
307,hate,G
307,despise,R
308,help,G
308,aid,R
308,assist,R
309,hide,G
309,conceal,R
310,huge,G
310,enormous,R
311,keep,G
311,maintain,R
312,kind,G
312,gracious,R
313,leave,G
313,depart,R
314,loudly,G
314,noisy,R
315,mistake,G
315,error,R
316,old,G
316,ancient,R
317,queer,G
317,weird,G
317,bizarre,R
317,peculiar,R
318,reach,G
318,arrive,R
319,remove,G
319,detach,R
320,seek,G
320,search,R
321,show,G
321,display,R
322,soundless,G
322,mute,R
323,trustworthy,G
323,reliable,R
324,trusty,G
324,loyal,R
325,ugly,G
325,hideous,R
326,unbelievable,G
326,incredible,R
327,whole,G
327,entire,R
328,wonderful,G
328,great,G
328,excellent,R
328,fantastic,R
329,worry,G
329,concern,R
330,worship,G
330,admire,R
331,wreck,G
331,destroy,R
331,demolish,R
332,wrong,G
332,untrue,G
332,FALSE,R
332,incorrect,R
333,find,G
333,discover,R
334,forbid,G
334,ban,G
334,prohibit,R
335,forgive,G
335,pardon,R
336,former,G
336,previous,R
337,freedom,G
337,liberty,R
338,fun,G
338,enjoyment,R
339,gain,G
339,obtain,R
339,acquire,R
340,gallant,G
340,chivalrous,R
341,garbage,G
341,trash,G
341,rubbish,R
342,gather,G
342,collect,R
343,hat,G
343,cap,R
344,own,G
344,possess,R
345,last,G
345,final,R
345,ultimate,R
346,learn,G
346,study,R
347,lucky,G
347,fortunate,R
348,hardship,G
348,suffer,G
348,misery,R
348,distress,R
349,happen,G
349,occur,R
350,shove,G
350,push,R
351,lift,G
351,elevator,R
352,regret,G
352,remorse,R
353,remark,G
353,comment,R
354,rug,G
354,carpet,R
355,shop,G
355,store,R
356,split,G
356,divide,R
357,try,G
357,attempt,R
358,restless,G
358,nervous,R
359,unlawful,G
359,illegal,R
360,worth,G
360,value,R
361,weak,G
361,feeble,R
362,win,G
362,triumph,R
362,victory,R
363,writer,G
363,author,R
364,yearly,G
364,annually,R
364,annual,R
365,strong,G
365,powerful,R
366,shipment,G
366,delivery,R
367,breakable,G
367,fragile,R
368,fake,G
368,artificial,R
369,short,G
369,brief,R
370,helpful,G
