synset,word,Source,
114,circumference,Romance,
114,perimeter,Greek,
115,clandestine,Romance,
115,secret,Romance,
115,underground,Germanic,
116,close,Romance,
116,shut,Germanic,
117,clothe,Germanic,
117,garb,Germanic,
117,tog,Romance,
117,garment,Romance,
117,apparel,Romance,
118,coherence,Romance,
118,cohesion,Romance,
119,collaborator,Romance,
119,henchman,Germanic,
120,collar,Romance,
120,nail,Germanic,
120,cop,Germanic,
121,collect,Romance,
121,amass,Romance,
121,hoard,Germanic,
122,commendable,Romance,
122,laudable,Romance,
122,praiseworthy,Germanic,*
123,compact,Romance,
123,pack,Germanic,
124,companion,Romance,
124,fellow,Germanic,
125,companionship,Romance,ship - germanic
125,fellowship,Germanic,
126,compel,Romance,
126,oblige,Romance,
127,comprehend,Romance,
127,dig,Germanic,
128,compress,Romance,
128,compact,Romance,
129,concede,Romance,
129,profess,Romance,
129,confess,Romance,
130,concede,Romance,
130,yield,Germanic,
130,cede,Romance,
131,conceivable,Romance,
131,imaginable,Romance,
132,confer,Romance,
132,bestow,Germanic,
133,confer,Romance,
133,consult,Romance,
134,configuration,Romance,
134,constellation,Romance,
135,congregation,Romance,
135,constellation,Romance,
136,connect,Romance,
136,tie,Germanic,
137,consist,Romance,
137,comprise,Romance,
138,conspire,Romance,
138,cabal,Romance,Herberw
139,continue,Romance,
139,proceed,Romance,
140,convey,Romance,
140,fetch,Germanic,
141,convey,Romance,
141,transmit,Romance,
141,communicate,Romance,
142,cook,Romance,
142,ready,Germanic,
142,prepare,Romance,
143,corporal,Romance,
143,somatic,Greek,
144,corpse,Romance,
144,stiff,Germanic,
145,correspond,Romance,
145,tally,Romance,
146,cosmopolitan,Greek,
146,ecumenical,Greek,
147,cover,Romance,
147,cross,Romance,
148,cowardly,Romance,
148,fearful,Germanic,
149,cradle,Germanic,
149,provenance,Romance,
150,crafty,Germanic,
150,cunning,Germanic,
150,sly,Germanic,
151,crank,Germanic,
151,cranky,Germanic,
151,tender,Romance,
152,cranky,Germanic,
152,irritable,Romance,
153,crave,Germanic,
153,hunger,Germanic,
153,thirst,Germanic,
153,starve,Germanic,
153,lust,Germanic,
154,crawl,Germanic,
154,creep,Germanic,
155,craze,Germanic,
155,hysteria,Romance,
156,credible,Romance,
156,believable,Germanic,
157, cripple,Germanic,
157,lame,Germanic,
158,cross,Romance,
158,span,Germanic,
159,crouch,Germanic,
159,stoop,Germanic,
159,bend,Germanic,
160,crude,Romance,
160,rough,Germanic,
161,crusade,Romance,
161,press,Romance,
161,push,Romance,
161,agitate,Romance,
162,cry,Germanic,
162,yell,Germanic,
163,cubicle,Romance,
163,stall,Germanic,
163,kiosk,Persian,
164,cunning,Germanic,
164,guile,Germanic,
165,cunning,Germanic,
165,ingenious,Romance,
166,curate,Romance,
166,pastor,Romance,
167,debacle,Romance,
167,fiasco,Romance,
168,debris,Germanic,
168,dust,Germanic,
169,debunk,?,
169,expose,Romance,
170,decapitate,Romance,
170,behead,Germanic,
171,decorate,Romance,
171,grace,Romance,
172,decorate,Romance,
172,grace,Romance,
172,ornament,Romance,
173,decrease,Romance,
173,diminish,Romance,
173,fall,Germanic,
174,decrease,Romance,
174,reduction,Romance,
175,defy,Romance,
175,withstand,Germanic,
176,delicate,Romance,
176,fragile,Romance,
176,frail,Romance,
177,demonic,Romance,
177,hellish,Germanic,
177,unholy,Germanic,
178,denounce,Romance,
178,betray,Romance,
178,rat,Germanic,
178,grass,Germanic,
178,stag,Germanic,
179,designate,Romance,
179,assign,Romance,
180,deter,Romance,
180,discourage,Romance,
181,determine,Romance,
181,mold,Romance,
181,regulate,Romance,
182,devise,Romance,
182,formulate,Romance,
182,forge,Romance,
183,dexterity,Romance,
183,sleight,Germanic,
184,dialectic,Romance,
184,dialectical,Romance,
185,digest,Romance,
185,endure,Romance,
185,stomach,Romance,
185,stand,Germanic,
185,tolerate,Romance,
186,digress,Romance,
186,wander,Germanic,
187,diminutive,Romance,
187,petite,Romance,
188,disastrous,Romance,
188,fatal,Romance,
188,fateful,Romance,ful - Germanic
189,discard,Romance,
189,dispose,Romance,
190,disclose,Romance,
190,reveal,Romance,
190,expose,Romance,
