abject scummy
ace adept genius star superstar
ace nail
ache yearn yen pine
acute sharp
addict hook
adept expert proficient skillful skilled
adhere bind stick
adversity hardship
affluence richness wealth
affluent flush
agile nimble
aimless vagrant
allegiance loyalty
alternate jump
angel backer
annoy rag irritate devil
appease placate gentle
approachable reachable
arouse elicit kindle evoke raise provoke invoke stir 
attend hang
attire garb
attract pull
audacious fearless
audit scrutinize inspect
awake arouse awaken wake
bankrupt ruin break
barbarous fell savage vicious wild
baron magnate mogul tycoon
batch flock mess mint slew
baton wand
beastly hellish
bedroom chamber
belittle denigrate
bind bandage
bland insipid vapid
blend flux mix coalesce combine
blessing approval
blight plague
bloodline ancestry origin parentage
bloom blossom flower
bondage thrall
bonnet cowl
boom thrive flourish prosper
botch blow spoil
bound rebound ricochet
bravado bluster
cabbage dough kale lettuce
burdensome onerous
butchery shambles
camp tent
candid frank outspoken
capricious freakish
cargo freight
carnage butchery
catch charm entrance
celestial heavenly
chase trail tail
clandestine secret underground
close shut
clothe garb tog garment apparel
collaborator henchman
collar nail cop
collect amass hoard
commendable laudable praiseworthy
compact pack
companion fellow
companionship fellowship
comprehend dig
concede yield cede
confer bestow
connect tie link
convey fetch
corpse stiff
cowardly fearful
cradle provenance
crank cranky tender
cranky irritable
craze hysteria
credible believable
cross span
crude rough
cubicle stall kiosk
cunning ingenious
decapitate behead
decrease diminish fall
defy withstand
demonic hellish unholy
denounce betray rat grass stag
dexterity sleight
digest endure stomach stand tolerate
digress wander
disclose reveal expose divulge break
disgrace demean
disgraceful scandalous shameful
domesticate cultivate tame
doom designate
dot dust disperse
downfall ruin
drag trail
dread dreadful fearful frightening horrendous
drift impetus
drinkable potable
dwell consist lie
earnest sincere solemn
eccentric freakish outlandish
elderly senior
encroach infringe
endless eternal infinite
entice lure tempt
entrance entry
entrust confide
err slip
erratic fickle quicksilver
estimate gauge approximate judge
eternal everlasting perpetual
exceed outdo outperform
execute fulfill implement
exhibit march
expedite hasten
express utter
fade melt
feasible workable
feces stool
fiend devil demon
filament strand
firm steady stiff unwavering rigid
fleeting fugitive
foster nurture
foster surrogate
fowl poultry
franchise dealership
freak monstrosity
fresh sassy wise
frisson chill quiver thrill
fruitless futile sleeveless
fugitive runaway
garrison fort
gleeful joyful
glut overeat
grateful thankful
grave sober solemn
grieve sorrow
grinder submarine wedge
grove orchard plantation
hamper strangle
hapless pitiful
harass harry plague molest provoke
harry ravage
haunt obsess
hedge evade skirt duck
hideous horrid outrageous
hilarity glee
hinder embarrass
hindrance impediment
hovel hut shanty
humble menial lowly
husk stalk stubble
idiotic laughable nonsensical preposterous
impede hinder
impress move strike
inane mindless vacuous
infeasible unfeasible unworkable
ingenuity cleverness
inlet recess
intelligible understandable
intestine bowel gut
jolly jovial merry
jump leap bound
lance shaft
leading star stellar
lend impart bestow
lifelike lively vivid
lukewarm tepid
lush plush
mailman postman
maroon strand
maul sledgehammer
meager meagre stingy
merchandise ware
mindless senseless
misinterpret misunderstand
mutilate mangle
narration tale story
narration yarn
nauseous queasy loathsome vile
neat peachy swell
noon midday
obscure cloud mist
obscure unknown unsung unclear vague
obstinate wayward
obstruction blockage
ominous sinister threatening
outlaw criminalize
outline synopsis
overcharge soak surcharge fleece rob hook
overcome defeat
overdo exaggerate
overhaul modernize
overthrow subvert overturn
overturn override overthrow reverse
palette pallet
pant puff
pawn soak
pertain relate concern touch
picker selector
pillage foray
pit cavity
populate dwell inhabit
present pose
print publish
procrastinate stall
pry prize lever
pulpit stump soapbox
pulse heartbeat
quartz crystal
rag lecture reprimand jaw berate
rant rave
reap harvest glean
reddish cherry ruby scarlet
regenerate renew resume
resentment bitterness gall
resonant resounding
restrict restrain bound throttle
revoke annul reverse repeal overturn
ridicule roast
rip pull
sabotage undermine counteract subvert
saliva spit
satisfy fulfill
scrape grate
seedy sordid
seek essay
sentence doom
shred iota tittle
shroud hide cover
singer vocalist
sink pass lapse
sketch outline
smasher stunner peach
smother stifle strangle
smother suffocate
soma physique anatomy chassis flesh
soothe solace
spend pass
spook specter
steep immerse
stir shift budge agitate
stomach belly
strangle throttle
substance gist heart
supervision oversight
swear rely
swerve curve slew
tamper fiddle monkey
tease badger
threesome triad trinity
thwart spoil foil cross frustrate
torment rag crucify dun frustrate
touch rival
trailer poke
trap pin immobilize
treachery betrayal treason
trim prune
twin duplicate
undesirable unwanted
ungrateful thankless
unload discharge
unwieldy unmanageable
uterus womb
vibration quiver
vomit spew regurgitate
voyage sail navigate
waive relinquish forego
weary fatigue
weave wander
wield exert
yield succumb
angry mad furious
answer reply
ask request
awful terrible
begin start commence
bent curved
bewitching enchanting
big large
blank void
bold brave
chiefly mainly
choose pick select
clean neat
crazy insane
dumb stupid
eager keen
end finish
fast quick rapid
fear fright terror horror
forsake abandon
friendly amiable
full complete
funny amusing
glimpse glance
goal aim
guarantee assure
hard difficult
harm damage
hate despise
help aid assist
hide conceal
huge enormous
keep maintain
kind gracious
leave depart
loudly noisy
mistake error
old ancient
queer weird bizarre peculiar
reach arrive
remove detach
seek search
show display
soundless mute
trustworthy reliable
trusty loyal
ugly hideous
unbelievable incredible
whole entire
wonderful great excellent fantastic
worry concern
worship admire
wreck destroy demolish
wrong untrue false incorrect
find discover
forbid ban prohibit
forgive pardon
former previous
freedom liberty
fun enjoyment
gain obtain acquire
gallant chivalrous
garbage trash rubbish
gather collect
hat cap
own possess
last final ultimate
learn study
lucky fortunate
hardship suffer misery distress
happen occur
shove push
lift elevator
regret remorse
remark comment
rug carpet
shop store
split divide
try attempt
restless nervous
unlawful illegal
worth value
weak feeble
win triumph victory
writer author
yearly annually annual
strong powerful
shipment delivery
breakable fragile
fake artificial
short brief
helpful beneficial
busy occupied
buy purchase
idle inactive
enough sufficient
thoughtful considerate
mourn grieve
legible readable
evil malicious
warlike militant
boring tedious uninteresting dull
sight vision
smell odour scent
meadow pasture
deadly mortal
tired exhausted
chat conversation discussion
leader chief
understand comprehend
hurdle obstacle
often frequently
flawless perfect
flaw defect
unbounded unlimited
early premature
likely probable
hopeful optimistic
outstanding extraordinary
lessen reduce
unwilling reluctant
withstand resist
withdraw retreat
same identical
meaningful significant
steady stable
shake quiver quake vibrate tremble
peak top apex pinnacle summit
mug rob
sealed impermeable
barely hardly scarcely
childish juvenile immature infantile
thread string cord
outline contour
mislead deceive
ache pain
enlighten illuminate
godlike divine
holy sacred
mumble mutter murmur
hue tint
dye color colour
oath vow
heaven paradise
fairness impartiality
outskirts suburb
worldwide global
almost nearly virtually
doable possible
lake lagoon
balcony porch
kingly royal majestic
broth soup
groundless baseless
whore prostitute
speed velocity
beach shore coast
outsider alien
squeeze compress
plot conspire scheme
build construct
careful cautious
gifted talented
shape form
lean rely
fight battle combat
lack shortage deficiency insufficiency
dot point
hug embrace
timetable schedule
now nowadays currently presently
offer proposal
manifold diverse
puff blow exhale
straightforward simple
baby infant
ball sphere globe
feeling emotion
thrill excite
through via
although despite
trade commerce
blockade siege
ghost spirit
alike similar resembling
shirt blouse
spud potato
guide instructor
crowd audience
worldly mundane
riddle enigma
shame disgrace
heap pile
twofold dual double
goods merchandise
bewildered confused
rocket missile
bow arc
unmind overlook ignore disregard
spoken oral verbal
sink submerge
