Filename,username,country,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C, TTR, Mean word rank, Mean naming RT, AoA
sampled_aanzeijar.Germany.txt,aanzeijar,Germany,25234,998,3522,2618,1297,1276,858,470,2788,25.2846,19.4557,9.6387,2.6232,2.7155,2.0185,0.4874,0.9838,1.2996,0.6615,0.3624,0.1795,2.1496,1.0649,0.327519705,2251.259265,606.6541331,5.255341881
sampled_Aberfrog.Austria.txt,Aberfrog,Austria,27581,819,3976,3167,1240,1576,812,504,2963,33.6764,22.2427,8.7089,3.8669,3.2065,2.554,0.4976,1.271,1.514,0.6548,0.4065,0.1591,2.3895,0.9356,0.297899838,1936.766559,603.4752172,5.156190209
sampled_ABoutDeSouffle.Germany.txt,ABoutDeSouffle,Germany,23660,976,3458,2633,1333,1149,816,495,2531,24.2418,17.7494,8.9859,2.6977,2.5941,1.9752,0.4364,0.862,1.3658,0.6122,0.3713,0.188,1.8987,0.9613,0.340509141,2386.08423,607.1208108,5.348071529
sampled_abuttfarting.Netherlands.txt,abuttfarting,Netherlands,23025,861,3442,2642,1122,1331,736,314,2595,26.7422,20.5214,8.715,3.0685,3.0677,2.3547,0.5038,1.1863,1.3031,0.656,0.2799,0.1188,2.3128,0.9822,0.331852905,1880.091135,604.7023417,5.230992143
sampled_acidburnz_EU.Netherlands.txt,acidburnz_EU,Netherlands,21025,998,3201,2400,1203,1128,767,490,2019,21.0671,17.4771,8.7604,2.4048,2.6608,1.995,0.47,0.9377,1.2054,0.6376,0.4073,0.2042,1.6783,0.8413,0.323901958,1857.548116,603.3583761,5.185536108
sampled_adamkex.Sweden.txt,adamkex,Sweden,22400,978,3452,2646,1155,1408,816,473,2313,22.9039,19.3939,8.4656,2.7055,2.9887,2.2909,0.5321,1.219,1.181,0.7065,0.4095,0.1788,2.0026,0.8741,0.311151981,2030.70724,603.9784455,5.229797276
sampled_adwarakanath.Germany.txt,adwarakanath,Germany,22669,959,2974,2242,1186,966,668,638,2430,23.6382,19.1138,10.1111,2.3379,2.5076,1.8904,0.4309,0.8145,1.2367,0.5632,0.5379,0.2846,2.0489,1.0839,0.355777817,2413.790677,607.0172507,5.336339425
sampled_Aethien.Netherlands.txt,Aethien,Netherlands,28007,987,3991,3052,1308,1513,858,665,2838,28.3759,21.4121,9.1766,3.0922,3.0512,2.3333,0.4957,1.1567,1.3252,0.656,0.5084,0.2179,2.1697,0.9299,0.316776483,1924.11083,605.3623517,5.195365134
sampled_Afirejar.Germany.txt,Afirejar,Germany,26752,1001,4116,3123,1281,1749,934,458,3083,26.7253,20.8837,8.5661,3.1199,3.2131,2.4379,0.56,1.3653,1.2797,0.7291,0.3575,0.1467,2.4067,0.9872,0.324851865,2192.878878,607.1138616,5.38805967
sampled_afito.Germany.txt,afito,Germany,18753,695,2720,2147,974,1022,642,376,1898,26.9827,19.2536,8.7345,3.0892,2.7926,2.2043,0.476,1.0493,1.4014,0.6591,0.386,0.1751,1.9487,0.884,0.286548703,1784.138292,603.9430161,5.124341009
sampled_afrael.Netherlands.txt,afrael,Netherlands,25014,1034,4084,3007,1345,1545,959,454,2198,24.1915,18.5978,8.3186,2.9081,3.0364,2.2357,0.5138,1.1487,1.3008,0.713,0.3375,0.151,1.6342,0.731,0.254881809,1337.503083,601.6959738,4.981782195
sampled_agggile.Finland.txt,agggile,Finland,23511,963,3613,2742,1188,1396,799,341,2537,24.4143,19.7904,8.5744,2.8474,3.0412,2.3081,0.5091,1.1751,1.2336,0.6726,0.287,0.1244,2.1355,0.9252,0.32266142,2521.695224,607.8627593,5.495874785
sampled_Aggressivecleaning.Norway.txt,Aggressivecleaning,Norway,21099,977,3434,2541,1303,1205,824,420,2058,21.5957,16.1926,8.3034,2.6008,2.6355,1.9501,0.4742,0.9248,1.3337,0.6324,0.3223,0.1653,1.5794,0.8099,0.290512175,1492.041646,600.2801343,4.913674034
sampled_aguad3coco.Germany.txt,aguad3coco,Germany,21844,994,3148,2460,1154,1273,787,560,2413,21.9759,18.9289,8.8797,2.4748,2.7279,2.1317,0.5175,1.1031,1.161,0.682,0.4853,0.2276,2.091,0.9809,0.280877136,1683.815382,603.7032287,5.256946418
sampled_AHMilling.Denmark.txt,AHMilling,Denmark,21489,915,3369,2671,1240,1147,746,384,2046,23.4852,17.3298,8.0453,2.9191,2.7169,2.154,0.4294,0.925,1.3552,0.6016,0.3097,0.1438,1.65,0.766,0.261961317,1582.489481,601.3193776,4.970131002
sampled_AKA_Sotof.Denmark.txt,AKA_Sotof,Denmark,23116,996,3637,2725,1268,1339,883,432,2367,23.2088,18.2303,8.4829,2.7359,2.8683,2.1491,0.4914,1.056,1.2731,0.6964,0.3407,0.1585,1.8667,0.8686,0.313036165,2300.118251,607.5679907,5.363077412
sampled_akkuj.Finland.txt,akkuj,Finland,26651,983,3854,2936,1293,1448,909,440,2922,27.1119,20.6118,9.0773,2.9868,2.9807,2.2707,0.4932,1.1199,1.3154,0.703,0.3403,0.1499,2.2599,0.9952,0.27629112,2383.411283,606.9678392,5.425999036
sampled_alayne_.Germany.txt,alayne_,Germany,25165,980,3821,2983,1375,1413,889,530,2198,25.6786,18.3018,8.4361,3.0439,2.7789,2.1695,0.4737,1.0276,1.4031,0.6465,0.3855,0.1777,1.5985,0.7368,0.276894452,1444.089817,602.969138,4.958141486
sampled_Alcobob.Germany.txt,Alcobob,Germany,25463,983,3674,2816,1164,1483,818,358,2764,25.9034,21.8754,9.0423,2.8647,3.1564,2.4192,0.5266,1.2741,1.1841,0.7027,0.3076,0.1271,2.3746,0.9815,0.294831311,2222.026924,605.1386738,5.352910201
sampled_Aleksx000.Germany.txt,Aleksx000,Germany,26034,988,3206,2366,1266,999,691,578,2991,26.3502,20.564,11.0034,2.3947,2.5324,1.8689,0.4222,0.7891,1.2814,0.5458,0.4566,0.2443,2.3626,1.2642,0.345951451,2653.85045,610.449181,5.484239793
sampled_AlexanderGson.Sweden.txt,AlexanderGson,Sweden,22730,982,3580,2728,1245,1388,849,572,1995,23.1466,18.257,8.3321,2.778,2.8755,2.1912,0.5088,1.1149,1.2678,0.6819,0.4594,0.2097,1.6024,0.7313,0.260236724,1373.487044,601.8033732,4.980024526
