Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
theCroc.Sweden.txt,904388,63675,143683,109159,66738,42901,28858,18806,91601,14.2032,13.5513,8.2851,1.7143,2.1529,1.6356,0.3930,0.6428,1.0481,0.4324,0.2818,0.1723,1.3725,0.8392
thefran.Russia.txt,36574,2035,5442,4087,2455,1448,1003,816,3726,17.9725,14.8978,8.9489,2.0084,2.2167,1.6648,0.3543,0.5898,1.2064,0.4086,0.3324,0.1997,1.5177,0.9117
thewindinthewillows.Germany.txt,979086,49888,152107,116607,58126,54146,32528,14843,103489,19.6257,16.8442,8.3965,2.3374,2.6168,2.0061,0.4643,0.9315,1.1651,0.5596,0.2554,0.1273,1.7804,0.8875
tso.Norway.txt,227542,11877,34583,24745,13948,10820,7314,3824,25194,19.1582,16.3136,9.1955,2.0834,2.4794,1.7741,0.4373,0.7757,1.1744,0.5244,0.2742,0.1545,1.8063,1.0181
turtleeatingalderman.Spain.txt,51342,2164,6674,4982,2449,2433,1380,920,6422,23.7255,20.9645,10.3055,2.3022,2.7252,2.0343,0.4884,0.9935,1.1317,0.5635,0.3757,0.1847,2.6223,1.2890
vintermann.Norway.txt,1116253,69198,176876,139856,77671,57884,38516,15764,121240,16.1313,14.3716,7.9814,2.0211,2.2772,1.8006,0.4139,0.7452,1.1224,0.4959,0.2030,0.1127,1.5609,0.8669
xmnstr.Sweden.txt,586568,50569,99376,81727,54826,25784,19895,7023,54072,11.5994,10.6987,7.1772,1.6161,1.8126,1.4907,0.3155,0.4703,1.0842,0.3629,0.1281,0.0859,0.9862,0.6616
xxTheGoDxx.Germany.txt,43829,2060,5716,4159,2199,1836,1114,773,4806,21.2762,19.9313,10.5384,2.0189,2.5994,1.8913,0.4415,0.8349,1.0675,0.5066,0.3515,0.1859,2.1855,1.1556
yoshi314.Poland.txt,1863,108,304,220,123,85,56,20,203,17.2500,15.1463,8.4682,2.0370,2.4715,1.7886,0.3864,0.6911,1.1389,0.4553,0.1626,0.0909,1.6504,0.9227
yoshi570.France.txt,735990,54823,126889,98320,60101,36518,25207,10905,71204,13.4248,12.2459,7.4857,1.7934,2.1113,1.6359,0.3714,0.6076,1.0963,0.4194,0.1814,0.1109,1.1847,0.7242
zazzlekdazzle.Netherlands.txt,675527,32170,106481,80996,39991,36382,22762,15452,67589,20.9987,16.8920,8.3403,2.5177,2.6626,2.0254,0.4492,0.9098,1.2431,0.5692,0.3864,0.1908,1.6901,0.8345
