username, TTR, Mean word rank, Mean naming RT, AoA,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
whubbard_US,0.025376406,1832.237972,604.9445962,5.219769435,271384,20248,43892,34928,21929,12679,9047,3664,26481,13.403,12.3756,7.7698,1.725,2.0016,1.5928,0.363,0.5782,1.083,0.4126,0.1671,0.1049,1.2076,0.7582
Xalteox_US,0.023530722,2327.471367,607.8408596,5.437493522,1294,67,201,150,75,58,37,25,124,19.3134,17.2533,8.6267,2.2388,2.68,2,0.3867,0.7733,1.1194,0.4933,0.3333,0.1667,1.6533,0.8267
Xanza_US,0.027668294,1956.646627,606.5049997,5.318566503,262036,16893,42823,32414,18630,13421,8635,4065,25631,15.5115,14.0653,8.084,1.9188,2.2986,1.7399,0.414,0.7204,1.1028,0.4635,0.2182,0.1254,1.3758,0.7907
Yuli-Ban_US,0.02992082,2491.726419,609.0551976,5.434044879,20152,1059,2394,1853,1164,678,465,563,2652,19.0293,17.3127,10.8753,1.7498,2.0567,1.5919,0.3659,0.5825,1.0992,0.3995,0.4837,0.3038,2.2784,1.4312
Zen_Drifter_US,0.022185841,2430.359147,605.9663701,5.304307525,1572,113,196,175,112,53,36,31,161,13.9115,14.0357,8.9829,1.5487,1.75,1.5625,0.3029,0.4732,0.9912,0.3214,0.2768,0.1771,1.4375,0.92
Zouden_Australia,0.024142377,2223.940606,606.1065858,5.339091104,72285,5361,11345,9083,5869,3098,2259,945,6897,13.4835,12.3164,7.9583,1.6943,1.933,1.5476,0.3411,0.5279,1.0948,0.3849,0.161,0.104,1.1752,0.7593
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
native_avg,0.02700994,2186.08013,606.9970226,5.313534749,243411.1299,15637.39803,38390.27448,30245.11997,17470.84205,12057.03986,8037.834963,4078.915356,25049.58549,18.58043148,16.27294258,9.162319072,2.031798069,2.320170486,1.777710665,0.40032354,0.724880903,1.136970493,0.462875216,0.304711359,0.170996336,1.720234857,0.96422871
non_native_avg,0.027010529,2186.333639,606.9985184,5.313586602,241824.3271,15536.93016,38106.77612,30016.27544,17350.26373,11959.99248,7977.536362,4052.075566,24897.3985,18.59766976,16.28934283,9.172663234,2.0313177,2.320409596,1.777454776,0.40024868,0.724721265,1.136831627,0.462763759,0.305170355,0.171270124,1.722488636,0.965581857
native_std,0.00343996,393.2854154,2.866123461,0.176556584,398714.7908,26436.03946,63549.96361,50200.84233,29361.61319,20100.02275,13485.56447,6742.832552,41080.75059,4.697867913,3.326614299,1.498211886,0.409869106,0.354946771,0.245577651,0.062206014,0.210598003,0.112169991,0.089140728,0.107880185,0.054075913,0.47103288,0.211540385
non-native_std,0.003638849,372.9479314,2.53240475,0.204054397,494287.2543,31373.63699,77336.9201,60396.76558,35024.7815,24499.49057,16174.20896,8968.076678,50262.93506,3.515990146,2.745931668,1.15368927,0.326301051,0.303702146,0.210492761,0.056282603,0.176361193,0.087972311,0.079924026,0.10118732,0.055184602,0.40279873,0.18492134
,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat,4.11985,0.431940867,1.20356482,-0.202058687,-3.244349225,-2.898121211,-3.106823916,-3.034649781,-2.970049578,-3.051086724,-3.024070205,-3.479957257,-3.200679027,0.753649442,0.842107325,1.210065997,-0.060750726,-0.093058853,-0.120556203,0.111057014,0.16511984,-0.167753645,-0.223716067,1.070257269,1.042282891,0.907169678,0.265205577
p-value,4.79E-05,0.666063098,0.229610163,0.839993859,0.00129623,0.004002115,0.002053251,0.002597135,0.003193078,0.002462758,0.002687154,0.000568014,0.001502681,0.45159069,0.400330449,0.227109265,0.951594067,0.9259126,0.904115049,0.911637841,0.868949549,0.866878619,0.823115017,0.285276328,0.298034374,0.364971099,
