username, TTR, Mean word rank, Mean naming RT, AoA,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
deuteros_US,0.026390675,2295.927871,609.4237202,5.383952887,434924,29611,65853,53535,33396,19632,14689,7112,44257,14.6879,13.0232,8.1241,1.8079,1.9719,1.603,0.3667,0.5879,1.1278,0.4398,0.213,0.1328,1.3252,0.8267
dibblah_UK,0.020658768,1448.73981,602.2226274,4.865951643,1006012,57803,175018,138787,73150,58285,39156,15699,88330,17.4041,13.7527,7.2486,2.401,2.3926,1.8973,0.42,0.7968,1.2655,0.5353,0.2146,0.1131,1.2075,0.6364
DJWalnut_US,0.029843151,2088.211514,605.9230173,5.298230835,2368,147,383,282,183,89,71,40,207,16.1088,12.9399,8.3972,1.9184,2.0929,1.541,0.3156,0.4863,1.2449,0.388,0.2186,0.1418,1.1311,0.734
EbilSmurfs_US,0.024488562,1720.317167,604.4964069,5.146695467,1096417,58724,183882,143837,69812,67325,41813,17516,110250,18.6707,15.7053,7.6226,2.4494,2.634,2.0603,0.4681,0.9644,1.1888,0.5989,0.2509,0.1218,1.5792,0.7665
eighthgear_US,0.028107482,2549.446525,610.2950485,5.453739934,1742898,99493,249520,201166,118766,77294,55399,29712,191060,17.5178,14.6751,8.664,2.0219,2.1009,1.6938,0.3842,0.6508,1.1937,0.4665,0.2502,0.1477,1.6087,0.9498
Emperor_Mao_Australia,0.025583475,2321.042477,608.9926344,5.431369574,11781,875,1846,1408,923,463,353,148,1288,13.464,12.7638,8.3672,1.6091,2,1.5255,0.3288,0.5016,1.0549,0.3824,0.1603,0.1051,1.3954,0.9148
empw_US,0.029142574,1692.330237,603.6650637,5.188392753,1355,101,193,154,101,46,37,23,121,13.4158,13.4158,8.7987,1.5248,1.9109,1.5248,0.2987,0.4554,1,0.3663,0.2277,0.1494,1.198,0.7857
eoinster_Ireland,0.0238524,1796.416284,606.2498696,5.149808492,225131,8402,32159,25837,12318,11256,7173,4539,23334,26.7949,18.2766,8.7135,3.0751,2.6107,2.0975,0.4357,0.9138,1.4661,0.5823,0.3685,0.1757,1.8943,0.9031
erythro_UK,0.024813741,2236.896856,607.3565946,5.28509839,3890,196,624,433,232,197,115,94,373,19.8469,16.7672,8.9838,2.2092,2.6897,1.8664,0.455,0.8491,1.1837,0.4957,0.4052,0.2171,1.6078,0.8614
etalasi_US,0.033291016,2884.013375,611.9442115,5.482194818,847,38,85,62,42,20,18,6,75,22.2895,20.1667,13.6613,1.6316,2.0238,1.4762,0.3226,0.4762,1.1053,0.4286,0.1429,0.0968,1.7857,1.2097
exasperation_Canada,0.027212052,2807.757575,611.852209,5.612935425,275707,14647,36719,28313,16274,11642,7689,6146,32579,18.8234,16.9416,9.7378,1.933,2.2563,1.7398,0.4112,0.7154,1.1111,0.4725,0.3777,0.2171,2.0019,1.1507
FANGO_US,0.02640825,1804.955468,605.3807295,5.217532694,98701,5157,15634,12178,6059,5499,3185,1519,10354,19.1392,16.29,8.1049,2.3615,2.5803,2.0099,0.4516,0.9076,1.1749,0.5257,0.2507,0.1247,1.7089,0.8502
fernguts_Canada,0.033419802,2150.067429,606.0999133,5.183545879,21947,1515,3337,2658,1750,913,724,347,2176,14.4865,12.5411,8.257,1.7545,1.9069,1.5189,0.3435,0.5217,1.1551,0.4137,0.1983,0.1305,1.2434,0.8187
FireReadyAim_US,0.027845261,1859.306685,605.4145612,5.239367703,838493,51670,137830,106444,59074,45285,29170,13557,85556,16.2278,14.1939,7.8773,2.0601,2.3332,1.8019,0.4254,0.7666,1.1433,0.4938,0.2295,0.1274,1.4483,0.8038
fr-josh_US,0.024952864,2131.694546,606.4881401,5.184089937,1025879,84642,165461,138729,90751,48430,35382,17439,100525,12.1202,11.3043,7.3948,1.639,1.8232,1.5287,0.3491,0.5337,1.0722,0.3899,0.1922,0.1257,1.1077,0.7246
funkalunatic_US,0.026513001,2645.631389,610.7245585,5.586628562,8136,512,1142,867,551,349,225,189,903,15.8906,14.7659,9.3841,1.6934,2.0726,1.5735,0.4025,0.6334,1.0762,0.4083,0.343,0.218,1.6388,1.0415
GavinZac_Ireland,0.032388021,2369.387209,607.2108713,5.248399672,65362,4229,9955,7834,4695,2935,1957,1139,6852,15.4557,13.9216,8.3434,1.8524,2.1203,1.6686,0.3746,0.6251,1.1102,0.4168,0.2426,0.1454,1.4594,0.8746
Geosaurusrex_UK,0.020301168,1327.150188,601.5535075,4.937575341,284462,22623,50551,41331,24596,14528,10210,2558,25858,12.574,11.5654,6.8825,1.8269,2.0553,1.6804,0.3515,0.5907,1.0872,0.4151,0.104,0.0619,1.0513,0.6256
GetOffMyLawn__US,0.026656572,2061.462475,604.0932488,5.153723944,247672,20147,38913,30584,21903,9452,7395,5848,22088,12.2932,11.3077,8.0981,1.518,1.7766,1.3963,0.3091,0.4315,1.0872,0.3376,0.267,0.1912,1.0084,0.7222
gingerkid1234_US,0.027308437,2714.97235,611.9132129,5.400811952,5920,327,865,690,381,282,205,107,650,18.104,15.5381,8.5797,2.1101,2.2703,1.811,0.4087,0.7402,1.1651,0.5381,0.2808,0.1551,1.706,0.942
grogipher_UK,0.023643053,2187.768313,606.7484139,5.264378424,955655,64258,149612,122247,72637,46032,31577,15503,97854,14.8722,13.1566,7.8174,1.9024,2.0597,1.683,0.3765,0.6337,1.1304,0.4347,0.2134,0.1268,1.3472,0.8005
halfar_US,0.029439855,2192.254602,607.2447454,5.336878795,27986,1736,4198,3313,1882,1327,825,441,2981,16.121,14.8704,8.4473,1.9084,2.2306,1.7604,0.4005,0.7051,1.0841,0.4384,0.2343,0.1331,1.584,0.8998
Halk_UK,0.024520024,2138.240744,605.2575189,5.243125222,112801,7146,18810,14924,8217,6261,4169,1915,10904,15.7852,13.7278,7.5584,2.0884,2.2892,1.8162,0.4195,0.762,1.1499,0.5074,0.2331,0.1283,1.327,0.7306
Hamakua_US,0.029274255,2297.581099,607.5192314,5.373405816,1303425,70419,191045,148512,80909,61243,39771,25933,138500,18.5096,16.1098,8.7766,2.109,2.3612,1.8355,0.4124,0.7569,1.149,0.4916,0.3205,0.1746,1.7118,0.9326
hankbaumbach_US,0.027397011,1930.088107,605.8470216,5.161339139,5979,292,839,631,330,286,166,147,637,20.476,18.1182,9.4754,2.161,2.5424,1.9121,0.4532,0.8667,1.1301,0.503,0.4455,0.233,1.9303,1.0095
Honey_Otter_UK,0.020096093,1736.858528,604.3070331,5.136299054,681012,41106,104740,83070,46510,33593,21465,12583,68848,16.5672,14.6423,8.198,2.0209,2.252,1.7861,0.4044,0.7223,1.1315,0.4615,0.2705,0.1515,1.4803,0.8288
hrbuchanan_US,0.025630075,2024.959922,606.0399592,5.400072394,12945,628,1751,1288,710,515,350,265,1362,20.6131,18.2324,10.0505,2.051,2.4662,1.8141,0.3998,0.7254,1.1306,0.493,0.3732,0.2057,1.9183,1.0575
Hungry_Lion_US,0.029646844,2052.697119,605.7905493,5.193373784,359046,24353,56066,45029,26993,17562,12175,5665,36982,14.7434,13.3014,7.9737,1.849,2.0771,1.6682,0.39,0.6506,1.1084,0.451,0.2099,0.1258,1.3701,0.8213
ieya404_UK,0.029302934,2582.13765,610.1658242,5.438368168,18416,761,2625,1950,943,895,505,241,2013,24.1997,19.5292,9.4441,2.5624,2.7837,2.0679,0.459,0.9491,1.2392,0.5355,0.2556,0.1236,2.1347,1.0323
IIHURRlCANEII_US,0.022136074,1382.18075,601.8780148,5.008222345,1310,59,157,124,71,45,33,25,161,22.2034,18.4507,10.5645,2.1017,2.2113,1.7465,0.3629,0.6338,1.2034,0.4648,0.3521,0.2016,2.2676,1.2984
inawordno_UK,0.022784345,2144.848311,609.0163375,5.34512257,9514,586,1159,910,602,318,212,216,1255,16.2355,15.804,10.4549,1.5529,1.9252,1.5116,0.3495,0.5282,1.0273,0.3522,0.3588,0.2374,2.0847,1.3791
InfanticideAquifer_US,0.028045417,2103.977009,607.8219184,5.314755557,218454,14912,35282,28005,15945,11676,7668,2437,23182,14.6495,13.7005,7.8005,1.878,2.2127,1.7563,0.4169,0.7323,1.0693,0.4809,0.1528,0.087,1.4539,0.8278
IntellegentIdiot_UK,0.023828002,1465.166983,602.4238991,5.018735679,4596,165,645,542,222,266,141,99,504,27.8545,20.7027,8.4797,3.2848,2.9054,2.4414,0.4908,1.1982,1.3455,0.6351,0.4459,0.1827,2.2703,0.9299
ionised_UK,0.032340037,1860.202286,604.5064638,5.088284472,26062,1253,3498,2650,1453,1062,687,375,2717,20.7997,17.9367,9.8347,2.1149,2.4074,1.8238,0.4008,0.7309,1.1596,0.4728,0.2581,0.1415,1.8699,1.0253
ItsPronouncedMo-BEEL_US,0.031719512,2036.983926,605.1223468,5.138254428,9465,543,1290,985,646,331,236,191,940,17.4309,14.6517,9.6091,1.814,1.9969,1.5248,0.336,0.5124,1.1897,0.3653,0.2957,0.1939,1.4551,0.9543
JamesColesPardon_US,0.028941067,2212.727653,607.6691541,5.326354073,25595,1116,3500,2557,1263,1193,666,719,2701,22.9346,20.2652,10.0098,2.2912,2.7712,2.0245,0.4666,0.9446,1.1317,0.5273,0.5693,0.2812,2.1386,1.0563
janethefish_US,0.025038944,2382.630247,608.6203732,5.438900348,982354,78625,161854,125975,81465,45453,31946,14929,99270,12.4942,12.0586,7.798,1.6022,1.9868,1.5464,0.3608,0.5579,1.0361,0.3921,0.1833,0.1185,1.2186,0.788
jb2386_Australia,0.026845817,2062.658138,606.4553864,5.403244549,16558,910,2545,1921,1039,825,504,278,1686,18.1956,15.9365,8.6195,2.111,2.4495,1.8489,0.4295,0.794,1.1418,0.4851,0.2676,0.1447,1.6227,0.8777
Jdog2010_US,0.023190963,1635.701203,603.9389184,5.084155443,273,12,25,17,12,7,2,6,27,22.75,22.75,16.0588,1.4167,2.0833,1.4167,0.4118,0.5833,1,0.1667,0.5,0.3529,2.25,1.5882
JediCapitalist_Australia,0.02765083,2222.687616,607.2661399,5.320873819,1197,57,156,121,68,53,42,27,123,21,17.6029,9.8926,2.1228,2.2941,1.7794,0.438,0.7794,1.193,0.6176,0.3971,0.2231,1.8088,1.0165
jesse9o3_UK,0.027329661,2295.716853,606.9648955,5.322894319,1446,81,209,144,90,52,30,34,122,17.8519,16.0667,10.0417,1.7778,2.3222,1.6,0.3611,0.5778,1.1111,0.3333,0.3778,0.2361,1.3556,0.8472
JimboLodisC_US,0.024940425,1317.935024,603.5311263,5.293283681,1329,57,148,122,67,48,38,19,147,23.3158,19.8358,10.8934,2.1404,2.209,1.8209,0.3934,0.7164,1.1754,0.5672,0.2836,0.1557,2.194,1.2049
kent_eh_Canada,0.030822898,2067.991178,606.4720188,5.248178915,1441,79,222,161,88,73,50,19,160,18.2405,16.375,8.9503,2.038,2.5227,1.8295,0.4534,0.8295,1.1139,0.5682,0.2159,0.118,1.8182,0.9938
Kinmuan_US,0.026411143,1927.766766,604.2195227,5.187432285,739,32,89,64,35,23,18,13,58,23.0938,21.1143,11.5469,2,2.5429,1.8286,0.3594,0.6571,1.0938,0.5143,0.3714,0.2031,1.6571,0.9062
Korlus_UK,0.024537008,2555.53894,606.8412464,5.388560956,14472,527,1660,1211,649,555,368,252,1582,27.4611,22.2989,11.9505,2.2979,2.5578,1.8659,0.4583,0.8552,1.2315,0.567,0.3883,0.2081,2.4376,1.3064
kupovi_US,0.022610103,1353.548901,601.215266,5.075035746,98290,7406,15227,12087,7998,4042,2884,2374,9458,13.2717,12.2893,8.1319,1.6321,1.9039,1.5113,0.3344,0.5054,1.0799,0.3606,0.2968,0.1964,1.1825,0.7825
letsgocrazy_UK,0.028730869,1951.969443,604.885608,5.208429595,1491671,95155,255058,197112,108787,82785,53229,26356,147310,15.6762,13.7118,7.5676,2.0715,2.3446,1.8119,0.42,0.761,1.1433,0.4893,0.2423,0.1337,1.3541,0.7473
Lolworth_UK,0.02824658,1980.805756,604.8530885,5.164737184,3634,199,480,367,231,126,95,54,389,18.2613,15.7316,9.9019,1.8442,2.0779,1.5887,0.3433,0.5455,1.1608,0.4113,0.2338,0.1471,1.684,1.0599
LtLabcoat_Ireland,0.025945645,1949.587647,605.2648844,5.251429691,506084,30770,84793,66609,33903,29489,17345,5903,52824,16.4473,14.9274,7.5978,2.1647,2.501,1.9647,0.4427,0.8698,1.1018,0.5116,0.1741,0.0886,1.5581,0.793
lynnangel_Canada,0.025088391,1483.077941,602.5557348,5.057616397,611279,42754,107362,84074,46293,36175,22051,8923,58227,14.2976,13.2046,7.2707,1.9665,2.3192,1.8161,0.4303,0.7814,1.0828,0.4763,0.1928,0.1061,1.2578,0.6926
michaelnoir_UK,0.032516696,3438.773114,613.0864164,5.587963122,20594,1636,1739,1369,816,509,277,383,2301,12.588,25.2377,15.0431,0.8368,2.1311,1.6777,0.3718,0.6238,0.4988,0.3395,0.4694,0.2798,2.8199,1.6808
MightierThanThou_US,0.025212508,2706.186051,608.7980367,5.493879227,1193360,66753,166750,133883,72378,57816,36162,23529,135587,17.8772,16.4879,8.9135,2.0056,2.3039,1.8498,0.4318,0.7988,1.0843,0.4996,0.3251,0.1757,1.8733,1.0127
mikemcg_Canada,0.030293209,1912.740992,605.3546301,5.076066771,16691,1034,2509,1948,1174,694,508,315,1615,16.1422,14.2172,8.5683,1.8839,2.1371,1.6593,0.3563,0.5911,1.1354,0.4327,0.2683,0.1617,1.3756,0.8291
Miserygut_UK,0.028091541,2411.427462,608.570992,5.429497757,521215,34417,79108,60464,37096,22901,16065,9883,55771,15.1441,14.0504,8.6203,1.7568,2.1325,1.6299,0.3788,0.6173,1.0778,0.4331,0.2664,0.1635,1.5034,0.9224
MMSTINGRAY_UK,0.025545607,2147.53,606.8742964,5.273642456,11460,418,1343,1010,503,501,273,309,1422,27.4163,22.7833,11.3465,2.4163,2.67,2.008,0.496,0.996,1.2033,0.5427,0.6143,0.3059,2.827,1.4079
MrDanger_US,0.032228889,2082.189308,605.594634,5.261591118,6122,275,534,413,294,137,62,137,595,22.2618,20.8231,14.8232,1.5018,1.8163,1.4048,0.3317,0.466,1.0691,0.2109,0.466,0.3317,2.0238,1.4407
MrDannyOcean_US,0.027203122,2343.182826,609.1571672,5.474089533,19093,864,2203,1616,987,592,407,426,2373,22.0984,19.3445,11.815,1.8704,2.232,1.6373,0.3663,0.5998,1.1424,0.4124,0.4316,0.2636,2.4043,1.4684
mrducky78_Australia,0.028128765,2575.505648,607.579678,5.468245607,23960,1437,3242,2386,1536,775,538,503,2533,16.6736,15.599,10.0419,1.6604,2.1107,1.5534,0.3248,0.5046,1.0689,0.3503,0.3275,0.2108,1.6491,1.0616
