Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
rcglinsk.US.txt,130842,8318,19734,15305,8923,6027,4058,2127,15056,15.73,14.6635,8.549,1.84,2.2116,1.7152,0.3938,0.6754,1.0727,0.4548,0.2384,0.139,1.6873,0.9837
reboticon.US.txt,3028,157,459,343,198,140,94,69,283,19.2866,15.2929,8.828,2.1847,2.3182,1.7323,0.4082,0.7071,1.2611,0.4747,0.3485,0.2012,1.4293,0.8251
recreational.US.txt,10196,416,1357,1010,503,465,269,267,1168,24.5096,20.2704,10.095,2.4279,2.6978,2.008,0.4604,0.9245,1.2091,0.5348,0.5308,0.2644,2.3221,1.1564
ridik_ulass.Ireland.txt,5677,241,844,626,340,249,174,159,519,23.556,16.6971,9.0687,2.5975,2.4824,1.8412,0.3978,0.7324,1.4108,0.5118,0.4676,0.254,1.5265,0.8291
RsonW.US.txt,294760,22414,44535,36712,23980,12005,8692,4985,28824,13.1507,12.2919,8.029,1.6379,1.8572,1.5309,0.327,0.5006,1.0699,0.3625,0.2079,0.1358,1.202,0.7851
RushofBlood52.US.txt,1123,93,149,123,88,37,28,37,92,12.0753,12.7614,9.1301,1.3226,1.6932,1.3977,0.3008,0.4205,0.9462,0.3182,0.4205,0.3008,1.0455,0.748
samsaBEAR.UK.txt,75641,2522,12486,9614,3764,4694,2507,1293,7243,29.9925,20.0959,7.8678,3.8121,3.3172,2.5542,0.4882,1.2471,1.4925,0.666,0.3435,0.1345,1.9243,0.7534
satanspanties.UK.txt,63888,3842,8901,6813,4411,2507,1794,1486,6394,16.6288,14.4838,9.3774,1.7733,2.0179,1.5445,0.368,0.5684,1.1481,0.4067,0.3369,0.2181,1.4496,0.9385
Scherazade.UK.txt,969802,60453,149805,116446,67599,45479,28727,15827,102046,16.0422,14.3464,8.3283,1.9262,2.2161,1.7226,0.3906,0.6728,1.1182,0.425,0.2341,0.1359,1.5096,0.8763
sellyme.Australia.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
serpentjaguar.US.txt,912362,44545,134093,108328,53519,51396,30796,18570,98335,20.4818,17.0474,8.4222,2.4319,2.5055,2.0241,0.4744,0.9603,1.2015,0.5754,0.347,0.1714,1.8374,0.9078
SexyMrSkeltal.US.txt,918435,45422,145725,109132,55082,48099,31357,13897,82591,20.22,16.674,8.4158,2.4026,2.6456,1.9813,0.4407,0.8732,1.2127,0.5693,0.2523,0.1273,1.4994,0.7568
Shotgun_Sentinel.US.txt,1766361,110295,290109,226809,125450,96960,64510,31597,178303,16.0149,14.0802,7.7879,2.0564,2.3125,1.808,0.4275,0.7729,1.1374,0.5142,0.2519,0.1393,1.4213,0.7861
SilasX.US.txt,132903,8582,21456,16418,9227,6722,4209,1774,13898,15.4863,14.4037,8.095,1.9131,2.3253,1.7793,0.4094,0.7285,1.0752,0.4562,0.1923,0.1081,1.5062,0.8465
skeletor100.UK.txt,202555,11795,29503,22267,12168,10112,6202,3663,22185,17.173,16.6465,9.0966,1.8878,2.4246,1.83,0.4541,0.831,1.0316,0.5097,0.301,0.1645,1.8232,0.9963
slapchopsuey.US.txt,6359,252,856,625,320,282,160,139,725,25.2341,19.8719,10.1744,2.4802,2.675,1.9531,0.4512,0.8812,1.2698,0.5,0.4344,0.2224,2.2656,1.16
SolidBlues.US.txt,301204,16163,48737,37953,18340,18359,10753,4967,34146,18.6354,16.4233,7.9362,2.3481,2.6574,2.0694,0.4837,1.001,1.1347,0.5863,0.2708,0.1309,1.8618,0.8997
Spartan448.US.txt,8522,289,1140,799,379,379,217,210,840,29.4879,22.4855,10.6658,2.7647,3.0079,2.1082,0.4743,1,1.3114,0.5726,0.5541,0.2628,2.2164,1.0513
Speech500.UK.txt,5878,327,858,692,376,303,198,104,562,17.9755,15.633,8.4942,2.1162,2.2819,1.8404,0.4379,0.8059,1.1498,0.5266,0.2766,0.1503,1.4947,0.8121
Spoonfeedme.Canada.txt,38649,2405,5976,4667,2690,1865,1246,690,4188,16.0703,14.3677,8.2813,1.9405,2.2216,1.7349,0.3996,0.6933,1.1185,0.4632,0.2565,0.1478,1.5569,0.8974
tathougies.US.txt,10695,603,1449,1152,689,406,307,239,1145,17.7363,15.5225,9.2839,1.9104,2.103,1.672,0.3524,0.5893,1.1426,0.4456,0.3469,0.2075,1.6618,0.9939
tehbored.US.txt,849518,65606,135600,110007,72635,36659,28246,12935,86062,12.9488,11.6957,7.7224,1.6768,1.8669,1.5145,0.3332,0.5047,1.1071,0.3889,0.1781,0.1176,1.1849,0.7823
thabe331.US.txt,335475,14499,57926,45614,16082,25666,10663,3825,40071,23.1378,20.8603,7.3546,3.146,3.6019,2.8363,0.5627,1.5959,1.1092,0.663,0.2378,0.0839,2.4917,0.8785
themusicgod1.Canada.txt,13106,696,1865,1381,780,598,373,198,1468,18.8305,16.8026,9.4902,1.9842,2.391,1.7705,0.433,0.7667,1.1207,0.4782,0.2538,0.1434,1.8821,1.063
TheNaughtyMonkey.US.txt,163620,13448,25201,20565,13842,6810,4966,2276,17267,12.1669,11.8205,7.9562,1.5292,1.8206,1.4857,0.3311,0.492,1.0293,0.3588,0.1644,0.1107,1.2474,0.8396
theorymeltfool.US.txt,48317,2674,7075,5587,3107,2326,1537,821,4974,18.0692,15.551,8.6481,2.0894,2.2771,1.7982,0.4163,0.7486,1.1619,0.4947,0.2642,0.1469,1.6009,0.8903
TikiTDO.Canada.txt,4526,222,647,462,258,200,142,69,475,20.3874,17.5426,9.7965,2.0811,2.5078,1.7907,0.4329,0.7752,1.1622,0.5504,0.2674,0.1494,1.8411,1.0281
TMWNN.US.txt,4147,247,506,379,237,136,93,84,447,16.7895,17.4979,10.942,1.5344,2.135,1.5992,0.3588,0.5738,0.9595,0.3924,0.3544,0.2216,1.8861,1.1794
UnbiasedPashtun.US.txt,9396,415,1223,918,475,420,253,190,1127,22.641,19.7811,10.2353,2.212,2.5747,1.9326,0.4575,0.8842,1.1446,0.5326,0.4,0.207,2.3726,1.2277
uzimonkey.US.txt,349394,21255,56169,43933,24915,16937,11792,6546,31656,16.4382,14.0234,7.9529,2.0669,2.2544,1.7633,0.3855,0.6798,1.1722,0.4733,0.2627,0.149,1.2706,0.7206
vokegaf.US.txt,21488,1066,2989,2231,1211,942,631,393,2449,20.1576,17.744,9.6316,2.0929,2.4682,1.8423,0.4222,0.7779,1.136,0.5211,0.3245,0.1762,2.0223,1.0977
wadcann.US.txt,246,9,32,22,9,15,6,5,32,27.3333,27.3333,11.1818,2.4444,3.5556,2.4444,0.6818,1.6667,1,0.6667,0.5556,0.2273,3.5556,1.4545
WellHeresMyFourthAcc.US.txt,18411,890,2654,1948,1041,834,527,377,1911,20.6865,17.6859,9.4512,2.1888,2.5495,1.8713,0.4281,0.8012,1.1697,0.5062,0.3622,0.1935,1.8357,0.981
whatthefuckguys.US.txt,80811,5201,12045,9323,6059,3211,2455,1546,8135,15.5376,13.3373,8.6679,1.7925,1.988,1.5387,0.3444,0.53,1.165,0.4052,0.2552,0.1658,1.3426,0.8726
Wheezin_Ed.US.txt,179963,9331,29219,22668,11309,10531,6361,3037,19604,19.2866,15.9133,7.9391,2.4293,2.5837,2.0044,0.4646,0.9312,1.212,0.5625,0.2685,0.134,1.7335,0.8648
whubbard.US.txt,271384,20248,43892,34928,21929,12679,9047,3664,26481,13.403,12.3756,7.7698,1.725,2.0016,1.5928,0.363,0.5782,1.083,0.4126,0.1671,0.1049,1.2076,0.7582
Xalteox.US.txt,1294,67,201,150,75,58,37,25,124,19.3134,17.2533,8.6267,2.2388,2.68,2,0.3867,0.7733,1.1194,0.4933,0.3333,0.1667,1.6533,0.8267
Xanza.US.txt,262036,16893,42823,32414,18630,13421,8635,4065,25631,15.5115,14.0653,8.084,1.9188,2.2986,1.7399,0.414,0.7204,1.1028,0.4635,0.2182,0.1254,1.3758,0.7907
Yuli-Ban.US.txt,20152,1059,2394,1853,1164,678,465,563,2652,19.0293,17.3127,10.8753,1.7498,2.0567,1.5919,0.3659,0.5825,1.0992,0.3995,0.4837,0.3038,2.2784,1.4312
Zen_Drifter.US.txt,1572,113,196,175,112,53,36,31,161,13.9115,14.0357,8.9829,1.5487,1.75,1.5625,0.3029,0.4732,0.9912,0.3214,0.2768,0.1771,1.4375,0.92
Zouden.Australia.txt,72285,5361,11345,9083,5869,3098,2259,945,6897,13.4835,12.3164,7.9583,1.6943,1.933,1.5476,0.3411,0.5279,1.0948,0.3849,0.161,0.104,1.1752,0.7593
